202103004	张4	光电学院	学硕	100	100	150	150	500	200	20	362	
202101005	陈三	通信学院	学硕	68	79	150	150	447	200	20	330.2	
202103001	张1	光电学院	学硕	78	69	150	150	447	200	20	330.2	
202103003	张3	光电学院	学硕	79	69	150	149	447	200	20	330.2	
202103002	张2	光电学院	学硕	80	69	149	149	447	200	20	330.2	
202101001	李四	通信学院	学硕	80	90	120	130	420	175	16.5	306.15	
202101006	陈思	通信学院	学硕	69	79	123	123	394	160	20	286.4	
202101002	张三	通信学院	学硕	36	79	123	132	370	165	12.5	272.75	
202101011	静静	通信学院	学硕	16	12	123	123	274	165	20	215.9	
202101004	范进	通信学院	学硕	36.5	16	123	123	298.5	16.5	16	185.65	
202101007	李三	通信学院	学硕	12	23	69	123	227	123	16	174.7	

202101003	王帅	通信学院	学硕	16.5	20	13	123	172.5	163	12	153.6	
202101009	丽丽	通信学院	学硕	56	45	45	12	158	168	20	147.2	
202101008	王王	通信学院	学硕	79	45	45	5	174	23	16	112.9	
202101010	贝贝	通信学院	学硕	12	12	12	12	48	163	20	79.7	
